District ,Zn %,Fe%,Cu %,Mn %,B %,S %
Anantapur,67.67,65.14,91.88,77.7,73.54,85.9
Chittoor,80.51,78.19,99.77,91.82,89.04,88.62
East Godavari,79.27,88.14,95.54,97.24,88.05,95.67
Guntur,58.3,71.16,98.86,91.4,86.15,86.81
Krishna,78.62,82.02,98.05,95.23,65.78,98.56
Kurnool,60.7,48.45,97.47,91.34,92.75,96.05
Prakasam,40.66,59.14,94.65,82.17,73.99,69.54
Nellore,39.58,55.37,80.72,79.83,77.23,87.61
Srikakulam,81.05,75.77,98.85,91.31,96.76,94.45
Visakhapatanam,58.7,64.93,96.44,78.35,85.4,88.29
Vizianagaram,61.6,93.71,95.22,98.34,79.43,87.59
West Godavari,67.36,87.69,96.54,96.76,87.74,88.24
Y.S.R.,68.61,67.42,92.82,92.72,71.8,86.46
Nicobars,71.52,98.79,93.03,99.7,100,0.3
North And Middle Andaman,93.36,100,83.19,100,90.78,0.23
South Andamans,80,99.59,81.28,98.68,99.34,0.5
Anjaw,65.1,99.89,81.62,91.86,,71.25
Changlang,0,100,66.67,100,,100
Dibang Valley,57.72,99.45,92.05,94.33,0,90.59
East Kameng,67.76,99.8,71.78,45.95,,7.96
East Siang,35.68,100,80.54,51.63,,99.46
Kra Daadi,44.44,88.89,25,100,33.33,66.67
Kurung Kumey,76.94,100,82.11,93.97,0,21.77
Lohit,67.3,98.07,86.61,87.35,100,39.16
Lower Dibang Valley,48.09,99.49,91.15,75.37,,69.45
Lower Subansiri,50,100,50,100,0,0
NAMSAI,100,100,100,90.91,,100
Papum Pare,63.77,91.62,84.68,50.74,0,15.61
Tawang,100,100,100,100,0,100
Tirap,84,100,90.67,65.88,,100
Upper Siang,45.23,99.84,91.82,66.12,100,96.44
Upper Subansiri,41.8,100,60.58,53.48,,0.26
West Kameng,93.44,100,80.33,91.26,,1.64
West Siang,43.52,97.98,89.57,76.11,,69.94
Baksa,65.1,98.14,99.63,90.41,2.99,88.56
Barpeta,89.47,97.73,99.66,95.84,29.56,85.47
Biswanath,93.58,99.98,99.55,99.47,0.92,98.41
Bongaigaon,99.79,99.53,99.96,87.64,0.92,99.63
Cachar,89.85,99.55,99.98,99.59,0.06,99.59
Charaideo,99.9,99.95,98.94,90.71,3.42,98.22
Chirang,99.96,99.91,100,93.21,1.65,99.78
Darrang,85.73,99.41,99.24,98.64,7.77,96.98
Dhemaji,99.7,99.49,99.94,87.86,3.99,98.04
Dhubri,98.36,99.98,99.98,99.17,0.06,99.86
Dibrugarh,97.05,98.14,99.88,90.46,4.51,99.04
Dima Hasao,100,100,100,100,0,100
Goalpara,71.28,99.6,99.97,99.68,1.41,96.49
Golaghat,97.42,99.91,99.98,99.77,0.48,99.52
Hailakandi,97,99.99,100,99.91,0,99.99
HOJAI,98.32,84,56.33,97.57,61.09,97.49
Jorhat,97.6,99.96,99.99,99.38,1.97,99.22
Kamrup,64.95,99.04,99.56,83.13,0.32,99.74
Kamrup Metro,99.88,99.97,100,99.94,0.15,99.94
Karbi Anglong,96,99.57,99.86,99.62,3.86,93.62
Karimganj,98.64,99.78,99.95,99.24,0.08,99.88
Kokrajhar,98.82,99.79,99.97,92.38,0.89,98.5
Lakhimpur,94.14,97.49,97.61,89.17,7.87,88.81
Majuli,52.57,99.89,100,93.19,0.17,98.34
Marigaon,88.15,99.68,99.1,96.26,0.39,96.56
Nagaon,99.68,99.69,98.98,88.74,4.43,99.8
Nalbari,90.4,99.98,100,99.91,0.23,99.88
Sivasagar,98.84,99.52,99.94,90.47,1.91,98.39
Sonitpur,99.85,99.9,99.97,95.47,0.08,99.92
SOUTH SALMARA MANCACHAR,98.55,99.96,100,99.71,0.04,99.96
Tinsukia,99.93,99.9,99.97,89.28,0.77,99.9
Udalguri,85.04,99.95,99.88,99.12,2.42,98.74
Araria,87.7,89.78,90.04,89.83,0.02,35.91
Arwal,69.61,77.58,78.21,77.69,0.12,3.92
Aurangabad,98.48,98.59,99,98.54,0.43,0.37
Banka,0.09,0.12,0.12,0.09,0.15,0.03
Begusarai,86.9,86.13,87.39,87.07,0.03,23.12
Bhagalpur,0.15,0,0.17,0.16,0.16,0.16
Bhojpur,95.72,93.84,99.26,97.19,1.79,2.25
Buxar,0,0.04,0.07,0.07,0.07,0.07
Darbhanga,96.83,97.1,98.13,95.52,2.8,19.4
Gaya,99.71,99.51,99.75,99.65,2.28,2.86
Gopalganj,58.95,94.74,100,96.84,64.21,84.21
Jamui,95.22,88.07,99.28,98.27,0.85,0.21
Jehanabad,91.22,97.13,99.18,96.17,2.68,0.03
Kaimur (Bhabua),50,50,100,100,0,50
Katihar,94.15,92.85,94.45,94,0.3,5.18
Khagaria,34.38,32.81,96.88,35.09,91.07,39.29
Kishanganj,69.11,99.59,95.93,83.27,54.07,11.79
Lakhisarai,3.04,4.22,6.39,6.94,3.12,7.04
Madhepura,26.42,53.34,55.18,53.72,0.12,8.44
Madhubani,96.86,92.36,98.37,94.68,7.96,14.22
Munger,6.43,5.85,6.45,6.43,0.03,0.03
Muzaffarpur,83.3,95.18,99.34,92.08,0.15,0.21
Nalanda,17.52,23.06,31.45,18.84,6.11,24.58
Nawada,97.25,98.45,99.66,99.38,0.41,0.52
Pashchim Champaran,66,80.76,81.41,72.56,0.37,0.16
Patna,83.1,87.06,94.84,85.05,4.08,5.63
Purbi Champaran,7.11,8.13,8.91,7.72,0.54,6.46
Purnia,35.58,97.87,98.07,83.59,0.84,0.63
Rohtas,1.05,2.19,2.34,2.2,1.86,1.62
Saharsa,0.13,0.32,0.34,0.28,0.18,5.96
Samastipur,3.67,4.28,4.34,4.26,2.23,24.84
Saran,93.31,94.77,98.84,99.71,74.13,94.19
Sheikhpura,0.25,0.27,0.5,0.43,0.21,0.14
Sheohar,0.11,0.23,0,0.11,0.23,0.11
Sitamarhi,98.35,99.85,99.9,99.9,0.83,0.93
Siwan,34.69,53.06,97.96,63.83,57.14,91.84
Supaul,53.92,49.26,98.28,61.1,67.89,88.48
Vaishali,0.11,0.12,0.3,0.17,0.18,0.27
Balod,38.63,96.84,99.18,97.14,52.95,44.16
Baloda Bazar,31.23,78.04,99.61,96.29,49.84,89.06
Balrampur,88.95,98.74,99.88,97.88,82.22,96.2
Bastar,36.75,90.97,92.5,95.56,21.93,18.83
Bemetara,93.23,91.06,99.9,98.57,62.25,36.95
Bijapur,97.25,96.47,98.79,90.82,88.09,94.71
Bilaspur,74.54,96.48,98.45,93.32,86.97,88.01
Dantewada,39.61,89.64,92.59,95.23,88.53,47.49
Dhamtari,64.33,98.73,99.75,99.32,69.54,26.57
Durg,68.84,84.13,99.58,97.55,63.75,54.74
Gariyaband,53.4,89.19,94.29,95.76,80.07,55.91
Janjgir-Champa,39.6,82.05,95.02,94.06,48.95,88.32
Jashpur,31.08,64.91,93.67,91.81,74.86,39.35
KABIRDHAM,74.1,95.05,99.22,95.23,99.35,18.39
Kanker,12.1,98.47,99.09,99.21,57.79,95.51
Kondagaon,32.36,80.06,59.83,85.38,39.43,88.4
Korba,16.74,87.46,96.15,92.08,84.69,38.97
Korea,76.44,98.07,95.98,98.87,95.73,58.62
Mahasamund,77.75,98.64,99.74,99.7,94.72,60.79
Mungeli,75.27,83.78,98.42,98.03,95.78,74.73
Narayanpur,54.34,91.47,90.01,94.74,66.24,90.13
Raigarh,67.77,99.22,98.38,98.72,97.08,35.89
Raipur,65.03,98.28,99.73,99.71,78.16,83.21
Rajnandgaon,52.85,77,90.06,97.27,51.48,75.2
Sukma,7.7,68.53,76.32,96.92,8.42,7.08
Surajpur,72.95,98.58,99.57,99.76,95.55,99.07
Surguja,50.76,82.93,95.11,99.05,72.22,83.18
North Goa,65.2,99.51,100,94.79,29.02,57.75
South Goa,85.02,99.66,97.98,98.98,45.9,20.9
Ahmadabad,72.52,82.68,95.38,94.01,40.49,86.34
Amreli,62.5,55.13,88.42,88.35,38.23,83.34
Anand,63.79,72.95,98.15,98.04,59.01,87.92
Aravalli,74.36,78.64,97.76,98.59,67,72.19
Banas Kantha,83.48,67.8,95.33,99.7,68.68,86.04
Bharuch,62.44,81.53,93.67,99.64,63.43,71.56
Bhavnagar,51.38,57.63,91.79,96.95,30.24,70.07
Botad,14.98,90.56,95.68,98.81,36.05,98.14
Chhotaudepur,78.63,94.98,96.66,99.27,72.01,78.75
Dahod,47.54,73.8,99.31,95.87,76.24,60.87
Dang,97.32,99.47,97.86,100,86.35,64.12
Devbhumidwarka,80.37,94.15,97.22,95.82,39.38,93.75
Gandhinagar,91.68,93.95,98.05,99.86,94.66,61
Girsomnath,38.62,89.98,80.32,80.85,26.04,91.23
Jamnagar,70.47,90.2,98.82,93.64,40.45,85.63
Junagadh,30.26,61.46,77.23,74.79,2.1,99.58
Kachchh,66.26,44.82,86.88,75.77,1.66,97.09
Kheda,65.87,81.8,94.29,99.74,61.5,40.66
Mahesana,95.36,62.78,99.04,99.54,24.49,98.45
Mahisagar,56.48,95.8,98.79,99.88,90.33,55.8
Morbi,92.07,70.59,91.52,99.97,13.14,49.62
Narmada,66.12,93.77,99.72,99.75,88.52,85.75
Navsari,80.39,90.45,96.39,98.72,77.48,69.29
Panch Mahals,45.49,81.67,84.29,99.76,78.73,19.63
Patan,90.69,63.28,98.07,99.45,79.44,67.87
Porbandar,44.1,29.26,90.14,57.15,34.19,74.87
Rajkot,52.45,64.98,94.49,98.94,10.34,67.24
Sabar Kantha,82.52,90.19,90.92,99.61,59.09,88.17
Surat,81.17,85.54,98.07,99.59,41.85,89.64
Surendranagar,82.03,56.06,92.83,96.52,19.64,89.99
Tapi,75.53,85.34,95.91,100,55.94,85.13
Vadodara,66.5,91.05,96.94,99.21,92.01,80.05
Valsad,57.58,97.85,92.41,99.13,73.1,87.79
Ambala,72.88,77.74,93.46,30.2,65.71,76.54
Bhiwani,45.72,43.1,93,44.05,56.88,89.85
Faridabad,98.14,97.29,100,98.96,100,99.91
Fatehabad,66.22,32.78,94.65,37.76,68.55,89.88
Gurgaon,78.53,78.73,94.55,74.95,36.91,94.29
Hisar,69.12,43.55,97.54,70.92,70.44,97.31
Jhajjar,59.61,60.73,93.92,60.81,40.16,90.49
Jind,72.28,82.34,98.8,67.59,42.83,91.78
Kaithal,61.93,58.42,98.94,26.62,52,88.85
Karnal,89.55,85.35,98.13,72.54,59.71,95.61
Kurukshetra,86.17,85.56,98.45,59.29,65.96,91.62
Mahendragarh,68.6,32.14,95.04,82.33,47.59,83.19
NUH,79.35,73.38,93.67,75.53,93.94,88.05
Palwal,59.97,59.86,96.86,50.48,54.75,88.34
Panchkula,93.87,95.04,99.23,80.65,34.54,97.1
Panipat,69.93,83.33,98.96,65.86,66.15,96.68
Rewari,78.99,71.13,94.85,72.25,57.65,96.02
Rohtak,43.19,62.44,93.61,57.42,47.85,84.81
Sirsa,69.43,41.44,94.54,54.04,69.78,94.47
Sonipat,82.77,37.68,98.02,35.38,34.42,98.74
Yamunanagar,91.1,92.92,99,82.72,82.27,94.07
Bilaspur,67.45,92.95,99.71,84.7,99.83,99.77
Chamba,96.97,87.88,100,100,100,66.67
Hamirpur,92.8,86.04,90.88,89.18,96.23,87.97
Kangra,98.35,89.1,98.51,97.77,95.98,75.26
Kinnaur,93.49,71.97,99.89,64.48,100,99.23
Kullu,87.49,84.62,97.37,79.66,90.31,91.07
Lahul And Spiti,92.09,88.79,99.06,75.76,97,91.71
Mandi,83.11,99.64,98.42,75.93,17.5,98.3
Shimla,95.02,97.16,98.23,89.73,72.73,37.5
Sirmaur,94.9,95.15,96.93,80.02,100,54.55
Solan,75.69,94.88,96.61,47.35,77.78,99.81
Una,88.79,68.01,91.46,42.69,100,100
Anantnag,24.73,88.43,58.17,60.05,82.35,44.83
Badgam,15.94,34.75,42.15,31.3,28.57,47.62
Bandipora,96.94,53.9,99.01,77.29,80,80
Baramulla,86.95,97.71,99.67,71.16,10.22,80.24
Doda,31.75,86.21,92.88,81.78,66.67,93.93
Ganderbal,68.36,50.42,93.71,47.28,69.3,2.71
Jammu,91.96,97.78,97.45,54.03,76.19,83.6
Kathua,88.11,78.63,93.87,88.95,62.26,79.09
Kishtwar,74.2,46.32,79.12,52.56,100,86.23
Kulgam,58.93,96.41,98.21,86.16,100,100
Kupwara,53.32,31.41,71.9,22.19,62.73,77.08
Poonch,92.74,81.33,93.53,53.89,0.37,83.23
Pulwama,37.58,29.67,41.47,15.36,99.84,4.72
Rajauri,82.93,5.85,38.61,39.6,93.83,88.24
Ramban,58.69,62.61,74.5,36.95,71.43,41.97
Reasi,64.74,65.82,71.83,62.79,22.82,19.63
Samba,48.18,82.1,86.32,87.45,72.73,46.07
Shopian,65.88,98.72,97.01,89.94,93.7,94.93
Srinagar,75.98,74.73,98.74,43.01,64.29,33.33
Udhampur,58.96,59.84,71.8,59.94,6.5,57.05
Bokaro,74.39,96.4,97.84,98.74,48.27,79.44
Chatra,44.9,96.63,76.61,97.58,85.6,65.34
Deoghar,75,100,62.5,100,37.5,100
Dhanbad,96.34,98.38,99.51,99.35,92.8,94.55
Dumka,97.02,98.01,100,97.9,53.63,99.75
East Singhbum,60.4,94.39,87.45,86.58,51.99,86.51
Garhwa,57.22,56.33,90.44,83.07,64.69,72.68
Giridih,55.83,94.21,84.46,94.65,93.63,25.28
Godda,97.19,98.56,99.01,85.86,93.4,89.53
Gumla,84.1,96.9,97.17,93.77,69.01,70.85
Hazaribagh,100,100,100,100,100,81.98
Jamtara,57.43,96.26,98.46,98.93,57.69,82.54
Khunti,84.78,97.34,96.89,99.67,61.45,85.11
Koderma,61.88,96.17,100,99.62,75.48,91.2
Latehar,96.55,100,100,100,95.65,48.22
Lohardaga,80.02,85.74,89.05,76.27,80.09,48.69
Pakur,95.19,89.29,99.89,92.36,47.47,86.32
Palamu,87.82,98.78,97.13,54.44,91.23,93.67
Ranchi,71.99,98.81,93.51,99.77,70.3,78.51
Sahebganj,100,100,100,100,100,100
Saraikela Kharsawan,75.09,82.11,95.46,75.19,64.6,63.68
Simdega,60.32,99.43,99.58,99.61,66.42,99.55
West Singhbhum,40.96,21.63,70.73,48.3,86.54,23.98
Bagalkot,20.38,1.73,98.15,77.13,61.21,88.79
BALLARI,39.28,62.04,93.94,91.55,62.07,89.42
Bangalore,33.07,39.84,82.56,85.25,12,30.49
BELAGAVI,37.52,22.77,95.97,60.9,14.94,31.95
Bengaluru Urban,38.86,40.15,86.26,88.01,12.03,27.68
Bidar,50.05,30.85,95.26,80.29,23.55,4.02
Bijapur,19.36,6.96,93.39,77.45,59.04,10.37
Chamarajanagar,20,22.34,91.43,85.91,84.91,78.77
Chikballapur,32.65,77.13,85.89,98.87,58.08,86.22
Chikmagalur,46.47,82.4,98.01,98.01,21.41,67
Chitradurga,50.43,17.82,63.93,24.31,38.34,75.84
Dakshin Kannad,23.55,74.88,68.32,52.02,31.75,85.33
Davangere,53.67,69.64,98.68,98.92,26.12,83.16
Dharwad,7.71,0.39,89.42,68.77,9.73,41.34
Gadag,28.76,1.48,98.88,82.99,96.63,25.27
Gulbarga,22.72,10.47,98.27,86.13,49.14,85.52
Hassan,22.52,45.4,77.38,78.35,58.88,90.69
Haveri,9.47,58.32,96.36,98.41,3.2,14.6
Kodagu,66.17,88.91,94.47,90.93,58.64,85.28
Kolar,59.91,84.35,97.63,98.38,54.92,74.53
Koppal,32.54,81.08,96.58,96.4,92.98,73.81
Mandya,66.18,83.66,96.03,98.12,28.35,51.6
Mysore,52.25,42.12,93.5,79.1,63.11,94.37
Raichur,93.32,67.84,99.83,94.38,91.76,78.02
Ramanagara,35.82,63.97,87.56,88.8,0.82,52.94
Shimoga,55.33,95.59,99.12,98.58,91.12,67.68
Tumkur,22.33,51.81,93.99,97.54,31.47,57.37
Udupi,63.56,95.84,95.04,71.3,23.69,47.79
Uttar Kannad,53.36,98.49,95.74,91.97,5.15,65.55
Yadgir,28.41,22.28,95.13,87.06,54.47,87.23
Alappuzha,98.41,99.03,98.72,92.51,31.26,78.07
Ernakulam,95.07,98.08,98.75,88.73,45.41,59.15
Idukki,93.52,97.3,99.18,93.89,78.42,83.31
Kannur,94.01,99.35,98.61,97.62,37.81,48.04
Kasaragod,74.08,86.1,83.88,84.76,10.21,21.08
Kollam,95,99.38,98.78,96.77,68.7,75.94
Kottayam,95.18,96.04,99.41,96.59,54.12,73.96
Kozhikode,86.9,98.37,91.15,94.68,42.2,42.04
Malappuram,97.98,99.87,99.94,99.51,79.74,73.59
Palakkad,95.61,99.36,99.94,99.06,28.81,63.32
Pathanamthitta,96.94,96.58,64.17,96.38,43.51,14.06
Thiruvananthapuram,91.21,97.07,94.3,94.48,50.94,70.38
Thrissur,93.46,98.62,97.98,97.2,74.74,84.18
Wayanad,89.37,98.21,99.39,98.04,22.94,8.41
Kargil,76.29,76.66,94.18,66.97,36.84,19.14
Leh,54.56,74.44,93.76,68.44,61.95,88.94
Agar Malwa,40.81,62.47,81.13,79.29,58.42,52.13
Alirajpur,43.17,48.36,81.26,66.3,65.82,55.67
Anuppur,52.86,96.04,89.58,98.95,43.88,94.64
Ashoknagar,52.47,71.15,81.4,98.64,43.62,98.04
Balaghat,83.63,99.21,98.43,99.62,89.32,96.97
Barwani,84.7,54.12,98.26,68.89,87.44,74.4
Betul,19.41,86.57,95.22,99.53,60.08,44.52
Bhind,8.27,91.87,97.87,98.25,58.36,55.15
Bhopal,77.06,78.65,98.12,97.18,94.53,89.02
Burhanpur,45.15,36.84,87.5,72.4,61.57,51.24
Chhatarpur,54.96,32.61,91.89,50.74,64.88,74.74
Chhindwara,68.93,70.38,97.36,89.89,85.94,83.25
Damoh,78.8,77.32,94.15,88.45,76.7,83.85
Datia,59.76,58.89,93.09,84.48,77.83,92.99
Dewas,49.56,84.77,99.53,97.61,65.91,79.7
Dhar,59.3,64.69,87.9,63.6,71.23,55.21
Dindori,41.35,98.31,99.97,98.61,96.14,89.4
East Nimar,68.86,94.72,99.94,98.78,82.26,90.72
Guna,34.16,85.41,98.74,77.06,77.97,91.13
Gwalior,48.4,69.77,93.71,93.38,70.84,86.39
Harda,95.81,98.4,99.54,99.75,96.11,95.68
Hoshangabad,54.42,85.04,95.67,97.62,72.92,62.58
Indore,69.1,78.75,96.84,95.21,88.41,84.17
Jabalpur,76.48,77.05,96.57,90.17,98.13,84.13
Jhabua,75.81,95.55,99.65,99.51,80.52,83.97
Katni,50.6,95.45,95.58,95.82,70.62,92.06
Khargone,58.98,25.01,85.83,74.25,82.42,78.17
Mandla,33.31,97.69,90.32,93.47,56.35,91.13
Mandsaur,74.69,70.26,95.36,74.01,87.15,87.82
Morena,60.12,92.51,95.31,98.7,83.94,57.19
Narsinghpur,62.81,63.2,96.58,89,79.96,73.47
Neemuch,19.36,76.26,99.98,99.91,24.51,0.49
Panna,82,98.52,98.96,99.51,66.92,94.79
Raisen,65.88,67.97,93.97,79.09,80.93,56.77
Rajgarh,21.6,90.57,78.41,94.79,7.93,73.68
Ratlam,97.67,97.58,99.17,98.76,99,98.93
Rewa,55.5,55.55,91.9,85.43,94.12,90.64
Sagar,74.78,90.65,99.36,94.99,83.77,79.82
Satna,29.58,92.84,88.66,99.19,39.77,61.47
Sehore,82.25,69.36,98.94,92.3,89.1,65.03
Seoni,41.47,82.27,96.08,90.18,50.34,84.97
Shahdol,60.46,98.42,96.39,99.05,85.06,96.13
